日付,ABC,CLUE,COCO,CRC,Customer Success,DS,Dive Deep,Engagement,FBProgram,File整理TRAIL,Foot Print,Forecast,ISD,NewsFeed,Panorama,People/その他,Pilot,RP,RP SharePoint,RoutineBoard,SKILL-UP,SSOT,Training,Voice,Wiki/START,トラブル報告(SDS/GSOC),メトリクス,勤怠,就業実績,架電Coaching
2025-02-06,,0.5,,34.0,3.5,14.0,,,2.0,,,2.5,,0.5,16.5,1.5,26.0,62.0,,,2.0,,,,,12.0,2.0,28.5,0.5,
2025-02-07,,,,44.0,2.0,20.0,,,4.5,,,,,,6.5,0.5,28.5,54.0,,,,,,,,6.0,8.5,34.5,0.5,
2025-02-08,,0.5,,41.5,2.0,19.0,,,,,,,,0.5,,4.5,28.0,48.5,,0.5,,,,,,3.0,3.5,26.0,1.0,
2025-02-09,,1.5,,46.0,5.5,30.0,,,,,,,,0.5,14.0,3.5,19.0,47.5,,0.5,1.0,1.0,,,,7.5,2.5,30.0,0.5,
2025-02-10,,1.0,,32.0,,20.0,,,,,0.5,,,1.0,18.5,1.0,31.5,59.5,,1.0,,3.0,,,,10.5,2.0,27.5,1.0,
2025-02-11,,0.5,,20.5,1.5,38.0,,,1.5,,,,,1.0,6.0,2.5,23.5,67.5,,2.0,0.5,1.0,,,1.0,11.0,4.0,31.0,3.5,2.5
2025-02-12,,2.0,,22.0,,13.5,,,3.0,,,,,,17.5,3.5,30.5,65.5,,1.0,,,,,,5.5,2.0,28.0,,
2025-02-13,,,,23.0,,8.5,,,6.0,,,2.0,,1.0,12.5,2.0,31.5,73.0,,,,,,,,7.0,2.0,28.5,,
2025-02-14,,2.5,,36.5,,13.5,,,,,,,,0.5,14.5,2.0,28.0,62.5,,,,,,,,7.5,4.0,26.5,,
2025-02-15,,4.0,,26.0,2.5,34.5,,,3.5,,,4.5,,,10.0,1.0,23.0,51.5,,1.5,,4.0,,,,7.5,3.0,28.5,,2.0
2025-02-16,,2.5,,18.5,2.0,37.5,,,,,4.0,,,2.0,14.0,1.0,12.0,66.0,,,,,,,,7.0,1.0,28.5,,
2025-02-17,,1.0,,37.0,1.5,29.5,,1.5,,,,0.5,,0.5,12.5,6.0,6.5,66.0,,,1.0,,,,,7.0,4.0,32.5,0.5,0.5
2025-02-18,,,,31.0,0.5,8.0,,,1.5,,,,,3.0,2.5,0.5,11.0,63.5,,0.5,,2.0,,,,5.5,3.5,23.0,,
2025-02-19,,0.5,,29.5,2.5,17.5,,,2.0,,,2.0,,0.5,6.5,3.0,12.0,56.5,,,,,,,,9.5,1.5,25.5,,
2025-02-20,,1.5,,25.5,,19.5,,,4.0,,,1.5,,0.5,21.0,0.5,6.5,61.0,,,,,,,,7.5,5.5,28.0,,0.5
2025-02-21,,5.0,,26.5,,14.0,,,,,,2.5,,1.0,14.0,0.5,25.25,57.0,,,,,,,,12.0,2.0,25.0,,0.5
2025-02-22,,1.0,,43.5,2.0,21.5,,,,,,,,0.5,,1.0,20.5,67.0,,,1.5,5.0,,,,9.0,3.0,29.5,,
2025-02-23,,,,45.0,1.0,13.0,,,,,1.5,,,,16.5,1.5,16.5,51.0,,,,,,,,14.5,2.0,24.0,,
2025-02-24,,,,38.5,,15.5,,,,,1.0,,,,13.5,6.5,9.0,56.0,,,,,,0.5,,9.0,3.0,26.0,0.5,
2025-02-25,,,,25.5,5.0,25.0,,,0.5,1.5,,,,0.5,20.0,8.5,12.0,61.5,,3.0,,,,,,17.0,2.5,31.5,1.5,0.5
2025-02-26,2.0,2.5,,26.0,,35.0,,,,,2.0,,,1.0,23.5,4.0,5.5,53.5,,4.0,,,,,,11.0,2.0,31.5,1.0,5.0
2025-02-27,,5.0,,19.5,2.0,28.5,,,,,,,,,17.0,11.0,10.0,59.5,,,,,,,,7.0,2.0,27.0,0.5,1.0
2025-02-28,,2.0,,10.5,,37.5,,,,,1.0,,,0.5,11.0,9.0,3.0,59.5,,1.0,0.5,,,,,14.0,3.0,25.5,1.0,
2025-03-01,,3.0,,19.5,,27.5,,,,,,1.0,6.5,,20.5,9.5,12.0,55.5,,,,,,,,8.5,3.0,28.5,1.0,1.0
2025-03-02,,0.5,,20.5,0.5,22.5,,,,,2.5,,2.5,0.5,17.0,6.5,18.5,68.0,,1.0,,,,1.0,,9.0,2.0,34.5,1.0,0.5
2025-03-03,,1.5,,42.0,,24.5,0.5,,,,2.5,,2.0,0.5,18.5,5.0,11.5,54.5,,1.0,,,,,,5.0,2.0,29.5,,5.5
2025-03-04,,1.5,,38.0,0.5,22.5,,,,,,0.5,3.5,0.5,17.0,6.5,10.5,53.5,,,,,,,,6.0,3.0,29.0,4.5,
2025-03-05,1.0,2.0,,23.5,2.5,30.5,,,4.5,,,0.5,,0.5,14.0,8.5,10.5,55.0,,,,,,,,8.0,2.0,29.0,2.5,3.5
2025-03-06,,0.5,,26.5,1.5,37.5,,,,,4.5,,4.0,0.5,21.0,11.0,14.0,55.0,,,,,,,,6.0,2.0,31.0,7.0,3.0
2025-03-07,,5.5,,30.0,,23.0,,,3.0,1.0,1.5,,6.5,,24.5,12.5,14.5,72.5,,1.0,,6.0,,,,4.0,3.5,33.5,0.5,
2025-03-08,,1.0,,29.0,0.5,26.5,,,,,,,1.0,0.5,18.5,2.0,14.0,67.5,,1.5,,,,,,3.5,2.0,29.0,,
2025-03-09,,3.5,,20.5,1.0,20.0,,,,,2.0,0.5,3.0,0.5,29.5,2.5,15.0,55.0,,6.5,1.5,,,,,11.0,2.0,29.0,2.0,
2025-03-10,,3.5,,24.5,1.5,21.5,,,,,1.0,0.5,,,22.0,5.5,14.0,58.0,,0.5,,0.5,4.5,,,9.0,5.0,28.5,1.0,1.0
2025-03-11,,,,18.0,3.0,23.5,,,2.5,,,1.0,2.0,0.5,17.5,6.5,19.0,65.5,,,,,,0.5,,9.5,2.5,28.0,1.0,1.0
2025-03-12,,0.5,,21.5,1.5,18.0,,,6.0,,,,4.0,0.5,12.5,8.5,5.0,70.0,,0.5,,3.0,2.5,,,7.0,6.5,30.0,1.0,
2025-03-13,,2.0,,25.5,4.5,16.5,,3.5,2.0,,,,1.0,0.5,24.0,12.5,25.0,61.0,,,,,,,,7.5,2.0,30.5,,
2025-03-14,,3.5,,17.5,2.5,18.5,,,,,,,4.0,0.5,22.5,8.0,18.0,58.0,,,,3.5,,,,10.0,2.0,28.5,0.5,
2025-03-15,,2.5,,16.5,0.5,29.0,,,,,,,,0.5,22.0,3.0,29.5,50.5,,1.0,,,,,,10.5,4.5,27.0,,
2025-03-16,,7.5,,27.0,1.5,25.0,,,0.5,,,0.5,,5.5,18.0,1.0,22.0,57.5,,1.5,,,,,,5.0,3.0,28.5,,
2025-03-17,,0.5,,38.5,3.0,20.5,,,,,,4.0,4.0,0.5,,5.0,27.5,58.5,,,,0.5,,,,8.5,1.0,29.5,,0.5
2025-03-18,,,,35.5,0.5,18.5,,,4.5,,,,,4.0,15.0,4.0,27.5,54.0,,,,,,,,11.0,1.0,28.0,1.5,
2025-03-19,,,,25.0,1.0,16.0,,0.5,,,1.0,,3.0,,18.0,2.0,21.0,58.0,,,,3.0,16.5,1.5,,11.0,1.0,30.0,7.0,
2025-03-20,,3.0,,30.5,,22.5,,,,,,,,0.5,18.5,9.5,12.0,49.0,,,,,17.0,,,12.5,2.0,30.5,5.5,0.5
2025-03-21,,,,23.0,,20.0,,,,,,,3.0,0.5,28.0,6.5,13.5,50.5,,,,,8.5,,,11.0,2.0,28.5,,
2025-03-22,,2.5,,17.0,0.5,17.0,,,,,2.0,1.0,5.0,2.0,22.0,3.5,22.0,59.0,,1.5,1.5,,,,2.0,11.0,1.5,30.0,2.0,1.0
